laureate_id,file_name,gender,known_name,full_name,birth_year,award_year,category,prize_amount_adjusted,motivation,affiliation_name,affiliation_city,award_country,award_continent,prize_index,is_science
26,einstein,male,Albert Einstein,Albert Einstein,1879.0,1921,Physics,3202773,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,Europe,1,1
814,fert,male,Albert Fert,Albert Fert,1938.0,2007,Physics,14291742,for the discovery of Giant Magnetoresistance,Universit&eacute; Paris-Sud,Orsay,France,Europe,1,1
465,gobat,male,Albert Gobat,Charles Albert Gobat,1843.0,1902,Peace,10191492,for his eminently practical administration of the Inter-Parliamentary Union,,,Switzerland,Europe,1,0
519,lutuli,male,Albert Lutuli,Albert John Lutuli,1898.0,1960,Peace,3369907,for his non-violent struggle against apartheid,,,South Africa,Africa,1,0
513,schweitzer,male,Albert Schweitzer,Albert Schweitzer,1875.0,1952,Peace,3220326,"for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one",,,France,Europe,1,0
332,szent-gyorgyi,male,Albert Szent-Györgyi,Albert von Szent-Györgyi Nagyrápolt,1893.0,1937,Physiology or Medicine,5963742,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",Szeged University,Szeged,Hungary,Europe,1,1
304,kossel,male,Albrecht Kossel,Albrecht Kossel,1853.0,1910,Physiology or Medicine,9016400,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",University of Heidelberg,Heidelberg,Germany,Europe,1,1
83,prokhorov,male,Aleksandr M. Prokhorov,Aleksandr Mikhailovich Prokhorov,1916.0,1964,Physics,3576149,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",P.N. Lebedev Physical Institute,Moscow,Russia,Europe,1,1
644,solzhenitsyn,male,Aleksandr Solzhenitsyn,Aleksandr Isayevich Solzhenitsyn,1918.0,1970,Literature,4018644,for the ethical force with which he has pursued the indispensable traditions of Russian literature,,,Russia,Europe,1,0
1031,yekimov,male,Aleksey Yekimov ,Aleksey Yekimov ,1945.0,2023,Chemistry,11314967,for the discovery and synthesis of quantum dots,Nanocrystals Technology Inc.,"New York, NY",USA,North America,1,1
1018,bialiatski,male,Ales Bialiatski,Ales Bialiatski ,1962.0,2022,Peace,11162900,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",,,Belarus,Europe,1,0
766,abrikosov,male,Alexei Abrikosov,Alexei Alexeyevich Abrikosov,1928.0,2003,Physics,14930730,for pioneering contributions to the theory of superconductors and superfluids,Argonne National Laboratory,"Argonne, IL",USA,North America,1,1
306,carrel,male,Alexis Carrel,Alexis Carrel,1873.0,1912,Physiology or Medicine,8540220,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,Rockefeller Institute for Medical Research,"New York, NY",USA,North America,1,1
544,robles,male,Alfonso García Robles,Alfonso García Robles,1911.0,1982,Peace,3923237,for their work for disarmament and nuclear and weapon-free zones,,,Switzerland,Europe,1,0
392,hershey,male,Alfred D. Hershey,Alfred D. Hershey,1908.0,1969,Physiology or Medicine,4023190,for their discoveries concerning the replication mechanism and the genetic structure of viruses,Carnegie Institution of Washington,"Long Island, New York, NY",USA,North America,1,1
479,fried,male,Alfred Fried,Alfred Hermann Fried,1864.0,1911,Peace,9266329,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",,,Austria,Europe,1,0
450,gilman,male,Alfred G. Gilman,Alfred G. Gilman,1941.0,1994,Physiology or Medicine,11696265,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA,North America,1,1
87,kastler,male,Alfred Kastler,Alfred Kastler,1902.0,1966,Physics,3521287,for the discovery and development of optical methods for studying Hertzian resonances in atoms,École Normale Supérieure,Paris,France,Europe,1,1
174,werner,male,Alfred Werner,Alfred Werner,1866.0,1913,Chemistry,8694275,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,University of Zurich,Zurich,Switzerland,Europe,1,1
892,munro,female,Alice Munro,Alice Munro,1931.0,2013,Literature,10578918,master of the contemporary short story,,,Canada,North America,1,0
417,cormack,male,Allan M. Cormack,Allan M. Cormack,1924.0,1979,Physiology or Medicine,3778486,for the development of computer assisted tomography,Tufts University,"Medford, MA",USA,North America,1,1
305,gullstrand,male,Allvar Gullstrand,Allvar Gullstrand,1862.0,1911,Physiology or Medicine,9266329,for his work on the dioptrics of the eye,Uppsala University,Uppsala,Sweden,Europe,1,1
300,laveran,male,Alphonse Laveran,Charles Louis Alphonse Laveran,1845.0,1907,Physiology or Medicine,8894198,in recognition of his work on the role played by protozoa in causing diseases,Institut Pasteur,Paris,France,Europe,1,1
543,myrdal,female,Alva Myrdal,Alva Myrdal,1902.0,1982,Peace,3923237,for their work for disarmament and nuclear and weapon-free zones,,,Sweden,Europe,1,0
882,roth,male,Alvin E. Roth,Alvin E. Roth,1951.0,2012,Economic Sciences,10573021,for the theory of stable allocations and the practice of market design,Harvard University,"Cambridge, MA",USA,North America,1,1
719,sen,male,Amartya Sen,Amartya Sen,1933.0,1998,Economic Sciences,12283299,for his contributions to welfare economics,Trinity College,Cambridge,United Kingdom,Europe,1,1
509,friends-committee,,,,,1947,Peace,3685518,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",,,,,1,0
537,amnesty,,,,,1977,Peace,3896009,for worldwide respect for human rights,,,,,1,0
590,france,male,Anatole France,Anatole France,1844.0,1921,Literature,3202773,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",,,France,Europe,1,0
360,cournand,male,André F. Cournand,André Frédéric Cournand,1895.0,1956,Physiology or Medicine,3413609,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",USA,North America,1,1
849,geim,male,Andre Geim,Andre Geim,1958.0,2010,Physics,13681477,for groundbreaking experiments regarding the two-dimensional material graphene,University of Manchester,Manchester,United Kingdom,Europe,1,1
618,gide,male,André Gide,André Paul Guillaume Gide,1869.0,1947,Literature,3685518,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight",,,France,Europe,1,0
381,lwoff,male,André Lwoff,André Lwoff,1902.0,1965,Physiology or Medicine,3519063,for their discoveries concerning genetic control of enzyme and virus synthesis,Institut Pasteur,Paris,France,Europe,1,1
990,ghez,female,Andrea Ghez,Andrea Ghez,1965.0,2020,Physics,12361835,for the discovery of a supermassive compact object at the centre of our galaxy,University of California,"Los Angeles, CA",USA,North America,1,1
534,sakharov,male,Andrei Sakharov,Andrei Dmitrievich Sakharov,1921.0,1975,Peace,4304697,"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations",,,Russia,Europe,1,0
377,huxley,male,Andrew Huxley,Andrew Fielding Huxley,1917.0,1963,Physiology or Medicine,3590371,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,University College,London,United Kingdom,Europe,1,1
412,schally,male,Andrew V. Schally,Andrew V. Schally,1926.0,1977,Physiology or Medicine,3896009,for their discoveries concerning the peptide hormone production of the brain,Veterans Administration Hospital,"New Orleans, LA",USA,North America,1,1
802,fire,male,Andrew Z. Fire,Andrew Z. Fire,1959.0,2006,Physiology or Medicine,14608749,for their discovery of RNA interference - gene silencing by double-stranded RNA,Stanford University School of Medicine,"Stanford, CA",USA,North America,1,1
926,deaton,male,Angus Deaton,Angus Deaton,1945.0,2015,Economic Sciences,10602571,"for his analysis of consumption, poverty, and welfare",Princeton University,"Princeton, NJ",USA,North America,1,1
1028,lhuillier,female,Anne L’Huillier,Anne L’Huillier,1958.0,2023,Physics,11314967,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,Lund University,Lund,Sweden,Europe,1,1
1017,ernaux,female,Annie Ernaux,Annie Ernaux,1940.0,2022,Literature,11162900,"for the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory",,,France,Europe,1,0
768,leggett,male,Anthony J. Leggett,Anthony J. Leggett,1938.0,2003,Physics,14930730,for pioneering contributions to the theory of superconductors and superfluids,University of Illinois,"Urbana, IL",USA,North America,1,1
1014,zeilinger,male,Anton Zeilinger,Anton Zeilinger,1945.0,2022,Physics,11162900,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",University of Vienna,Vienna,Austria,Europe,1,1
101,hewish,male,Antony Hewish,Antony Hewish,1924.0,1974,Physics,4126741,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",University of Cambridge,Cambridge,United Kingdom,Europe,1,1
538,al-sadat,male,Anwar al-Sadat,Mohamed Anwar al-Sadat,1918.0,1978,Peace,3665192,for jointly having negotiated peace between Egypt and Israel in 1978,,,Egypt,Africa,1,0
214,martin,male,Archer J.P. Martin,Archer John Porter Martin,1910.0,1952,Chemistry,3220326,for their invention of partition chromatography,National Institute for Medical Research,London,United Kingdom,Europe,1,1
311,hill,male,Archibald V. Hill,Archibald Vivian Hill,1886.0,1922,Physiology or Medicine,3978181,for his discovery relating to the production of heat in the muscle,London University,London,United Kingdom,Europe,1,1
998,patapoutian,male,Ardem Patapoutian,Ardem Patapoutian,1967.0,2021,Physiology or Medicine,12096939,for their discoveries of receptors for temperature and touch,Scripps Research,"La Jolla, CA",USA,North America,1,1
891,warshel,male,Arieh Warshel,Arieh Warshel,1940.0,2013,Chemistry,10578918,for the development of multiscale models for complex chemical systems,University of Southern California,"Los Angeles, CA",USA,North America,1,1
490,briand,male,Aristide Briand,Aristide Briand,1862.0,1926,Peace,4138987,for their crucial role in bringing about the Locarno Treaty,,,France,Europe,1,0
208,tiselius,male,Arne Tiselius,Arne Wilhelm Kaurin Tiselius,1902.0,1948,Chemistry,3865528,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins",Uppsala University,Uppsala,Sweden,Europe,1,1
111,penzias,male,Arno Penzias,Arno Allan Penzias,1933.0,1978,Physics,3665192,for their discovery of cosmic microwave background radiation,Bell Laboratories,"Holmdel, NJ",USA,North America,1,1
960,ashkin,male,Arthur Ashkin,Arthur Ashkin,1922.0,2018,Physics,11380800,for the optical tweezers and their application to biological systems,Bell Laboratories,"Holmdel, NJ",USA,North America,1,1
920,mcdonald,male,Arthur B. McDonald,Arthur B. McDonald,1943.0,2015,Physics,10602571,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",Queen's University,Kingston,Canada,North America,1,1
33,compton,male,Arthur H. Compton,Arthur Holly Compton,1892.0,1927,Physics,4544453,for his discovery of the effect named after him,University of Chicago,"Chicago, IL",USA,North America,1,1
186,harden,male,Arthur Harden,Arthur Harden,1865.0,1929,Chemistry,6206272,for their investigations on the fermentation of sugar and fermentative enzymes,London University,London,United Kingdom,Europe,1,1
499,henderson,male,Arthur Henderson,Arthur Henderson,1863.0,1934,Peace,6534637,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34,,,United Kingdom,Europe,1,0
368,kornberg,male,Arthur Kornberg,Arthur Kornberg,1918.0,1959,Physiology or Medicine,3419788,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,Stanford University,"Stanford, CA",USA,North America,1,1
119,schawlow,male,Arthur L. Schawlow,Arthur Leonard Schawlow,1921.0,1981,Physics,3704688,for their contribution to the development of laser spectroscopy,Stanford University,"Stanford, CA",USA,North America,1,1
203,virtanen,male,Artturi Virtanen,Artturi Ilmari Virtanen,1895.0,1945,Chemistry,3161325,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method",University of Helsinki,Helsinki,Finland,Europe,1,1
722,carlsson,male,Arvid Carlsson,Arvid Carlsson,1923.0,2000,Physiology or Medicine,14331095,for their discoveries concerning signal transduction in the nervous system,Göteborg University,Gothenburg,Sweden,Europe,1,1
310,krogh,male,August Krogh,Schack August Steenberg Krogh,1874.0,1920,Physiology or Medicine,3028106,for his discovery of the capillary motor regulating mechanism,Copenhagen University,Copenhagen,Denmark,Europe,1,1
475,beernaert,male,Auguste Beernaert,Auguste Marie François Beernaert,1829.0,1909,Peace,8958535,for their prominent position in the international movement for peace and arbitration,,,Belgium,Europe,1,0
553,kyi,female,Aung San Suu Kyi,Aung San Suu Kyi,1945.0,1991,Peace,10968389,for her non-violent struggle for democracy and human rights,,,Myanmar,Asia,1,0
780,hershko,male,Avram Hershko,Avram Hershko,1937.0,2004,Chemistry,14874529,for the discovery of ubiquitin-mediated protein degradation,Technion - Israel Institute of Technology,Haifa,Israel,Asia,1,1
923,sancar,male,Aziz Sancar,Aziz Sancar,1946.0,2015,Chemistry,10602571,for mechanistic studies of DNA repair,University of North Carolina,"Chapel Hill, NC",USA,North America,1,1
845,obama,male,Barack H. Obama,Barack Hussein Obama,1961.0,2009,Peace,13857393,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples,,,USA,North America,1,0
428,mcclintock,female,Barbara McClintock,Barbara McClintock,1902.0,1983,Physiology or Medicine,4698151,for her discovery of mobile genetic elements,Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY",USA,North America,1,1
942,barish,male,Barry C. Barish,Barry C. Barish,1936.0,2017,Physics,11603589,for decisive contributions to the LIGO detector and the observation of gravitational waves,LIGO/VIRGO Collaboration,,,,1,1
789,marshall,male,Barry J. Marshall,Barry J. Marshall,1951.0,2005,Physiology or Medicine,14809494,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,"NHMRC Helicobacter pylori Research Laboratory, QEII Medical Centre",Nedlands,Australia,Oceania,1,1
409,blumberg,male,Baruch S. Blumberg,Baruch S. Blumberg,1925.0,1976,Physiology or Medicine,4226835,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,The Institute for Cancer Research,"Philadelphia, PA",USA,North America,1,1
419,benacerraf,male,Baruj Benacerraf,Baruj Benacerraf,1920.0,1980,Physiology or Medicine,3654081,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,Harvard Medical School,"Boston, MA",USA,North America,1,1
1021,bernanke,male,Ben Bernanke,Ben S. Bernanke,1953.0,2022,Economic Sciences,11162900,for research on banks and financial crises,The Brookings Institution,"Washington, D.C.",USA,North America,1,1
103,mottelson,male,Ben R. Mottelson,Ben Roy Mottelson,1926.0,1975,Physics,4304697,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nordita,Copenhagen,Denmark,Europe,1,1
936,holmstrom,male,Bengt Holmström,Bengt Holmström,1949.0,2016,Economic Sciences,10496956,for their contributions to contract theory,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,North America,1,1
426,samuelsson,male,Bengt I. Samuelsson,Bengt I. Samuelsson,1934.0,1982,Physiology or Medicine,3923237,for their discoveries concerning prostaglandins and related biologically active substances,Karolinska Institutet,Stockholm,Sweden,Europe,1,1
1002,list,male,Benjamin List,Benjamin List,1968.0,2021,Chemistry,12096939,for the development of asymmetric organocatalysis,Max-Planck-Institut für Kohlenforschung,Mülheim an der Ruhr,Germany,Europe,1,1
933,feringa,male,Bernard L. Feringa,Bernard L. Feringa,1951.0,2016,Chemistry,10496956,for the design and synthesis of molecular machines,University of Groningen,Groningen,the Netherlands,Europe,1,1
345,houssay,male,Bernardo Houssay,Bernardo Alberto Houssay,1887.0,1947,Physiology or Medicine,3685518,for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Argentina,South America,1,1
445,sakmann,male,Bert Sakmann,Bert Sakmann,1942.0,1991,Physiology or Medicine,10968389,for their discoveries concerning the function of single ion channels in cells,Max-Planck-Institut für medizinische Forschung,Heidelberg,Germany,Europe,1,1
468,suttner,female,Bertha von Suttner,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",1843.0,1905,Peace,9629677,for her audacity to oppose the horrors of war,,,Austria,Europe,1,0
689,ohlin,male,Bertil Ohlin,Bertil Ohlin,1899.0,1977,Economic Sciences,3896009,for their pathbreaking contribution to the theory of international trade and international capital movements,Stockholm School of Economics,Stockholm,Sweden,Europe,1,1
145,brockhouse,male,Bertram N. Brockhouse,Bertram N. Brockhouse,1918.0,1994,Physics,11696265,for the development of neutron spectroscopy,McMaster University,"Hamilton, Ontario",Canada,North America,1,1
621,russell,male,Bertrand Russell,Earl (Bertrand Arthur William) Russell,1872.0,1950,Literature,3857077,in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought,,,United Kingdom,Europe,1,0
535,williams,female,Betty Williams,Elizabeth Williams,1943.0,1976,Peace,4226835,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,,,United Kingdom,Europe,1,0
572,bjornson,male,Bjørnstjerne Bjørnson,Bjørnstjerne Martinus Bjørnson,1832.0,1903,Literature,9857642,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",,,Norway,Europe,1,0
937,dylan,male,Bob Dylan,Bob Dylan,1941.0,2016,Literature,10496956,for having created new poetic expressions within the great American song tradition,,,,,1,0
629,pasternak,male,Boris Pasternak,Boris Leonidovich Pasternak,1890.0,1958,Literature,3346838,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition,,,Russia,Europe,1,0
99,josephson,male,Brian D. Josephson,Brian David Josephson,1940.0,1973,Physics,4213275,"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects",University of Cambridge,Cambridge,United Kingdom,Europe,1,1
879,kobilka,male,Brian Kobilka,Brian K. Kobilka,1955.0,2012,Chemistry,10573021,for studies of G-protein-coupled receptors,Stanford University School of Medicine,"Stanford, CA",USA,North America,1,1
865,schmidt,male,Brian P. Schmidt,Brian P. Schmidt,1967.0,2011,Physics,13335208,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,Australian National University,Weston Creek,Australia,Oceania,1,1
861,beutler,male,Bruce A. Beutler,Bruce A. Beutler,1957.0,2011,Physiology or Medicine,13335208,for their discoveries concerning the activation of innate immunity,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA,North America,1,1
261,merrifield,male,Bruce Merrifield,Robert Bruce Merrifield,1921.0,1984,Chemistry,4782579,for his development of methodology for chemical synthesis on a solid matrix,Rockefeller University,"New York, NY",USA,North America,1,1
105,richter,male,Burton Richter,Burton Richter,1931.0,1976,Physics,4226835,for their pioneering work in the discovery of a heavy elementary particle of a new kind,Stanford Linear Accelerator Center,"Stanford, CA",USA,North America,1,1
34,wilson,male,C.T.R. Wilson,Charles Thomson Rees Wilson,1869.0,1927,Physics,4544453,for his method of making the paths of electrically charged particles visible by condensation of vapour,University of Cambridge,Cambridge,United Kingdom,Europe,1,1
298,golgi,male,Camillo Golgi,Camillo Golgi,1843.0,1906,Physiology or Medicine,9384824,in recognition of their work on the structure of the nervous system,Pavia University,Pavia,Italy,Europe,1,1
666,cela,male,Camilo José Cela,Camilo José Cela,1916.0,1989,Literature,6629077,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability",,,Spain,Europe,1,0
189,bosch,male,Carl Bosch,Carl Bosch,1874.0,1931,Chemistry,6623733,in recognition of their contributions to the invention and development of chemical high pressure methods,University of Heidelberg,Heidelberg,Germany,Europe,1,1
343,cori-cf,male,Carl Cori,Carl Ferdinand Cori,1896.0,1947,Physiology or Medicine,3685518,for their discovery of the course of the catalytic conversion of glycogen,Washington University,"St. Louis, MO",USA,North America,1,1
43,anderson,male,Carl D. Anderson,Carl David Anderson,1905.0,1936,Physics,6213186,for his discovery of the positron,California Institute of Technology (Caltech),"Pasadena, CA",USA,North America,1,1
588,spitteler,male,Carl Spitteler,Carl Friedrich Georg Spitteler,1845.0,1919,Literature,3006134,"in special appreciation of his epic, <I>Olympian Spring</I>",,,Switzerland,Europe,1,0
500,ossietzky,male,Carl von Ossietzky,Carl von Ossietzky,1889.0,1935,Peace,6319387,for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace,,,Germany,Europe,1,0
740,wieman,male,Carl Wieman,Carl E. Wieman,1951.0,2001,Physics,15547541,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates","University of Colorado, JILA","Boulder, CO",USA,North America,1,1
124,rubbia,male,Carlo Rubbia,Carlo Rubbia,1934.0,1984,Physics,4782579,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",CERN,Geneva,Switzerland,Europe,1,1
562,belo,male,Carlos Filipe Ximenes Belo,Carlos Filipe Ximenes Belo,1948.0,1996,Peace,12000958,for their work towards a just and peaceful solution to the conflict in East Timor,,,East Timor,Oceania,1,0
501,lamas,male,Carlos Saavedra Lamas,Carlos Saavedra Lamas,1878.0,1936,Peace,6213186,"for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935",,,Argentina,South America,1,0
836,greider,female,Carol W. Greider,Carol W. Greider,1961.0,2009,Physiology or Medicine,13857393,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,Johns Hopkins University School of Medicine,"Baltimore, MD",USA,North America,1,1
1015,bertozzi,female,Carolyn Bertozzi,Carolyn R. Bertozzi,1966.0,2022,Chemistry,11162900,for the development of click chemistry and bioorthogonal chemistry,Stanford University,"Stanford, CA",USA,North America,1,1
55,powell,male,Cecil Powell,Cecil Frank Powell,1903.0,1950,Physics,3857077,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method,Bristol University,Bristol,United Kingdom,Europe,1,1
