laureate_id,file_name,gender,known_name,full_name,birth_date,birth_year,birth_country,birth_country_now,birth_continent,birth_location,death_year,prize_count,first_award_year,first_category,first_prize_amount_adjusted,first_motivation,first_affiliation_name,first_affiliation_city,first_award_country,first_award_continent,is_science
199,butenandt,male,Adolf Butenandt,Adolf Friedrich Johann Butenandt,1903-03-24,1903.0,Germany,Germany,Europe,"Bremerhaven-Lehe, Germany",1995.0,1,1939,Chemistry,5346318,for his work on sex hormones,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,Europe,1
164,baeyer,male,Adolf von Baeyer,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,1835.0,Prussia,Germany,Europe,"Berlin, Prussia (now Germany)",1917.0,1,1905,Chemistry,9629677,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",Munich University,Munich,Germany,Europe,1
185,windaus,male,Adolf Windaus,Adolf Otto Reinhold Windaus,1876-12-25,1876.0,Germany,Germany,Europe,"Berlin, Germany",1959.0,1,1928,Chemistry,5637915,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,Goettingen University,Göttingen,Germany,Europe,1
541,esquivel,male,Adolfo Pérez Esquivel,Adolfo Pérez Esquivel,1931-11-26,1931.0,Argentina,Argentina,South America,"Buenos Aires, Argentina",,1,1980,Peace,3654081,"for being a source of inspiration to repressed people, especially in Latin America",,,Argentina,South America,0
292,zewail,male,Ahmed Zewail,Ahmed H. Zewail,1946-02-26,1946.0,Egypt,Egypt,Africa,"Damanhur, Egypt",2016.0,1,1999,Chemistry,12707531,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,California Institute of Technology (Caltech),"Pasadena, CA",USA,North America,1
853,suzuki,male,Akira Suzuki,Akira Suzuki,1930-09-12,1930.0,Japan,Japan,Asia,"Mukawa, Japan",,1,2010,Chemistry,13681477,for palladium-catalyzed cross couplings in organic synthesis,Hokkaido University,Sapporo,Japan,Asia,1
978,yoshino,male,Akira Yoshino,Akira Yoshino,1948-01-30,1948.0,Japan,Japan,Asia,"Suita, Japan",,1,2019,Chemistry,11178104,for the development of lithium-ion batteries,Asahi Kasei Corporation,Tokyo,Japan,Asia,1
819,gore,male,Al Gore,Albert Arnold (Al) Gore  Jr.,1948-03-31,1948.0,USA,USA,North America,"Washington, D.C., USA",,1,2007,Peace,14291742,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",,,USA,North America,0
1012,aspect,male,Alain Aspect,Alain Aspect,1947-06-15,1947.0,France,France,Europe,"Agen, France",,1,2022,Physics,11162900,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",Institut d’Optique Graduate School – Université Paris-Saclay,Paris,France,Europe,1
729,heeger,male,Alan Heeger,Alan J. Heeger,1936-01-22,1936.0,USA,USA,North America,"Sioux City, IA, USA",,1,2000,Chemistry,14331095,for the discovery and development of conductive polymers,University of California,"Santa Barbara, CA",USA,North America,1
376,hodgkin,male,Alan Hodgkin,Alan Lloyd Hodgkin,1914-02-05,1914.0,United Kingdom,United Kingdom,Europe,"Banbury, United Kingdom",1998.0,1,1963,Physiology or Medicine,3590371,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,University of Cambridge,Cambridge,United Kingdom,Europe,1
730,macdiarmid,male,Alan MacDiarmid,Alan G. MacDiarmid,1927-04-14,1927.0,New Zealand,New Zealand,Oceania,"Masterton, New Zealand",2007.0,1,2000,Chemistry,14331095,for the discovery and development of conductive polymers,University of Pennsylvania,"Philadelphia, PA",USA,North America,1
11,michelson,male,Albert A. Michelson,Albert Abraham Michelson,1852-12-19,1852.0,Prussia,Poland,Europe,"Strelno, Prussia (now Strzelno, Poland)",1931.0,1,1907,Physics,8894198,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,University of Chicago,"Chicago, IL",USA,North America,1
628,camus,male,Albert Camus,Albert Camus,1913-11-07,1913.0,French Algeria,Algeria,Africa,"Mondovi, French Algeria (now Algeria)",1960.0,1,1957,Literature,3411444,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",,,France,Europe,0
403,claude,male,Albert Claude,Albert Claude,1898-08-24,1898.0,Belgium,Belgium,Europe,"Longlier, Belgium",1983.0,1,1974,Physiology or Medicine,4126741,for their discoveries concerning the structural and functional organization of the cell,Université Catholique de Louvain,Louvain,Belgium,Europe,1
26,einstein,male,Albert Einstein,Albert Einstein,1879-03-14,1879.0,Germany,Germany,Europe,"Ulm, Germany",1955.0,1,1921,Physics,3202773,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,Europe,1
814,fert,male,Albert Fert,Albert Fert,1938-03-07,1938.0,France,France,Europe,"Carcassonne, France",,1,2007,Physics,14291742,for the discovery of Giant Magnetoresistance,Universit&eacute; Paris-Sud,Orsay,France,Europe,1
465,gobat,male,Albert Gobat,Charles Albert Gobat,1843-05-21,1843.0,Switzerland,Switzerland,Europe,"Tramelan, Switzerland",1914.0,1,1902,Peace,10191492,for his eminently practical administration of the Inter-Parliamentary Union,,,Switzerland,Europe,0
519,lutuli,male,Albert Lutuli,Albert John Lutuli,1898-00-00,1898.0,Southern Rhodesia,Zimbabwe,Africa,"Bulawayo, Southern Rhodesia (now Zimbabwe)",1967.0,1,1960,Peace,3369907,for his non-violent struggle against apartheid,,,South Africa,Africa,0
513,schweitzer,male,Albert Schweitzer,Albert Schweitzer,1875-01-14,1875.0,Germany,France,Europe,"Kaysersberg, Germany (now France)",1965.0,1,1952,Peace,3220326,"for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one",,,France,Europe,0
332,szent-gyorgyi,male,Albert Szent-Györgyi,Albert von Szent-Györgyi Nagyrápolt,1893-09-16,1893.0,Austria-Hungary,Hungary,Europe,"Budapest, Austria-Hungary (now Hungary)",1986.0,1,1937,Physiology or Medicine,5963742,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",Szeged University,Szeged,Hungary,Europe,1
304,kossel,male,Albrecht Kossel,Albrecht Kossel,1853-09-16,1853.0,Mecklenburg,Germany,Europe,"Rostock, Mecklenburg (now Germany)",1927.0,1,1910,Physiology or Medicine,9016400,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",University of Heidelberg,Heidelberg,Germany,Europe,1
83,prokhorov,male,Aleksandr M. Prokhorov,Aleksandr Mikhailovich Prokhorov,1916-07-11,1916.0,Australia,Australia,Oceania,"Atherton, Australia",2002.0,1,1964,Physics,3576149,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",P.N. Lebedev Physical Institute,Moscow,Russia,Europe,1
644,solzhenitsyn,male,Aleksandr Solzhenitsyn,Aleksandr Isayevich Solzhenitsyn,1918-12-11,1918.0,Russia,Russia,Europe,"Kislovodsk, Russia",2008.0,1,1970,Literature,4018644,for the ethical force with which he has pursued the indispensable traditions of Russian literature,,,Russia,Europe,0
1031,yekimov,male,Aleksey Yekimov ,Aleksey Yekimov ,1945-00-00,1945.0,USSR,Russia,Europe,"Leningrad, USSR (now St. Petersburg, Russia)",,1,2023,Chemistry,11314967,for the discovery and synthesis of quantum dots,Nanocrystals Technology Inc.,"New York, NY",USA,North America,1
1018,bialiatski,male,Ales Bialiatski,Ales Bialiatski ,1962-09-25,1962.0,Russia,Russia,Europe,"Vyartsilya, Karelia, Russia",,1,2022,Peace,11162900,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",,,Belarus,Europe,0
766,abrikosov,male,Alexei Abrikosov,Alexei Alexeyevich Abrikosov,1928-06-25,1928.0,USSR,Russia,Europe,"Moscow, USSR (now Russia)",2017.0,1,2003,Physics,14930730,for pioneering contributions to the theory of superconductors and superfluids,Argonne National Laboratory,"Argonne, IL",USA,North America,1
306,carrel,male,Alexis Carrel,Alexis Carrel,1873-06-28,1873.0,France,France,Europe,"Sainte-Foy-lès-Lyon, France",1944.0,1,1912,Physiology or Medicine,8540220,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,Rockefeller Institute for Medical Research,"New York, NY",USA,North America,1
544,robles,male,Alfonso García Robles,Alfonso García Robles,1911-03-20,1911.0,Mexico,Mexico,North America,"Zamora, Mexico",1991.0,1,1982,Peace,3923237,for their work for disarmament and nuclear and weapon-free zones,,,Switzerland,Europe,0
392,hershey,male,Alfred D. Hershey,Alfred D. Hershey,1908-12-04,1908.0,USA,USA,North America,"Owosso, MI, USA",1997.0,1,1969,Physiology or Medicine,4023190,for their discoveries concerning the replication mechanism and the genetic structure of viruses,Carnegie Institution of Washington,"Long Island, New York, NY",USA,North America,1
479,fried,male,Alfred Fried,Alfred Hermann Fried,1864-11-11,1864.0,Austria,Austria,Europe,"Vienna, Austria",1921.0,1,1911,Peace,9266329,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",,,Austria,Europe,0
450,gilman,male,Alfred G. Gilman,Alfred G. Gilman,1941-07-01,1941.0,USA,USA,North America,"New Haven, CT, USA",2015.0,1,1994,Physiology or Medicine,11696265,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA,North America,1
87,kastler,male,Alfred Kastler,Alfred Kastler,1902-05-03,1902.0,Germany,France,Europe,"Guebwiller, Germany (now France)",1984.0,1,1966,Physics,3521287,for the discovery and development of optical methods for studying Hertzian resonances in atoms,École Normale Supérieure,Paris,France,Europe,1
174,werner,male,Alfred Werner,Alfred Werner,1866-12-12,1866.0,France,France,Europe,"Mulhouse, France",1919.0,1,1913,Chemistry,8694275,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,University of Zurich,Zurich,Switzerland,Europe,1
892,munro,female,Alice Munro,Alice Munro,1931-07-10,1931.0,Canada,Canada,North America,"Wingham, Canada",2024.0,1,2013,Literature,10578918,master of the contemporary short story,,,Canada,North America,0
417,cormack,male,Allan M. Cormack,Allan M. Cormack,1924-02-23,1924.0,South Africa,South Africa,Africa,"Johannesburg, South Africa",1998.0,1,1979,Physiology or Medicine,3778486,for the development of computer assisted tomography,Tufts University,"Medford, MA",USA,North America,1
305,gullstrand,male,Allvar Gullstrand,Allvar Gullstrand,1862-06-05,1862.0,Sweden,Sweden,Europe,"Landskrona, Sweden",1930.0,1,1911,Physiology or Medicine,9266329,for his work on the dioptrics of the eye,Uppsala University,Uppsala,Sweden,Europe,1
300,laveran,male,Alphonse Laveran,Charles Louis Alphonse Laveran,1845-06-18,1845.0,France,France,Europe,"Paris, France",1922.0,1,1907,Physiology or Medicine,8894198,in recognition of his work on the role played by protozoa in causing diseases,Institut Pasteur,Paris,France,Europe,1
543,myrdal,female,Alva Myrdal,Alva Myrdal,1902-01-31,1902.0,Sweden,Sweden,Europe,"Uppsala, Sweden",1986.0,1,1982,Peace,3923237,for their work for disarmament and nuclear and weapon-free zones,,,Sweden,Europe,0
882,roth,male,Alvin E. Roth,Alvin E. Roth,1951-12-18,1951.0,USA,USA,North America,"New York, NY, USA",,1,2012,Economic Sciences,10573021,for the theory of stable allocations and the practice of market design,Harvard University,"Cambridge, MA",USA,North America,1
719,sen,male,Amartya Sen,Amartya Sen,1933-11-03,1933.0,India,India,Asia,"Santiniketan, India",,1,1998,Economic Sciences,12283299,for his contributions to welfare economics,Trinity College,Cambridge,United Kingdom,Europe,1
509,friends-committee,,,,,,,,,,,1,1947,Peace,3685518,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",,,,,0
537,amnesty,,,,,,,,,,,1,1977,Peace,3896009,for worldwide respect for human rights,,,,,0
590,france,male,Anatole France,Anatole France,1844-04-16,1844.0,France,France,Europe,"Paris, France",1924.0,1,1921,Literature,3202773,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",,,France,Europe,0
360,cournand,male,André F. Cournand,André Frédéric Cournand,1895-09-24,1895.0,France,France,Europe,"Paris, France",1988.0,1,1956,Physiology or Medicine,3413609,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",USA,North America,1
849,geim,male,Andre Geim,Andre Geim,1958-10-21,1958.0,Russia,Russia,Europe,"Sochi, Russia",,1,2010,Physics,13681477,for groundbreaking experiments regarding the two-dimensional material graphene,University of Manchester,Manchester,United Kingdom,Europe,1
618,gide,male,André Gide,André Paul Guillaume Gide,1869-11-22,1869.0,France,France,Europe,"Paris, France",1951.0,1,1947,Literature,3685518,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight",,,France,Europe,0
381,lwoff,male,André Lwoff,André Lwoff,1902-05-08,1902.0,France,France,Europe,"Ainay-le-Château, France",1994.0,1,1965,Physiology or Medicine,3519063,for their discoveries concerning genetic control of enzyme and virus synthesis,Institut Pasteur,Paris,France,Europe,1
990,ghez,female,Andrea Ghez,Andrea Ghez,1965-06-16,1965.0,USA,USA,North America,"New York, NY, USA",,1,2020,Physics,12361835,for the discovery of a supermassive compact object at the centre of our galaxy,University of California,"Los Angeles, CA",USA,North America,1
534,sakharov,male,Andrei Sakharov,Andrei Dmitrievich Sakharov,1921-05-21,1921.0,Russia,Russia,Europe,"Moscow, Russia",1989.0,1,1975,Peace,4304697,"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations",,,Russia,Europe,0
377,huxley,male,Andrew Huxley,Andrew Fielding Huxley,1917-11-22,1917.0,United Kingdom,United Kingdom,Europe,"Hampstead, United Kingdom",2012.0,1,1963,Physiology or Medicine,3590371,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,University College,London,United Kingdom,Europe,1
412,schally,male,Andrew V. Schally,Andrew V. Schally,1926-11-30,1926.0,Poland,Lithuania,Europe,"Wilno, Poland (now Vilnius, Lithuania)",2024.0,1,1977,Physiology or Medicine,3896009,for their discoveries concerning the peptide hormone production of the brain,Veterans Administration Hospital,"New Orleans, LA",USA,North America,1
802,fire,male,Andrew Z. Fire,Andrew Z. Fire,1959-04-27,1959.0,USA,USA,North America,"Stanford, CA, USA",,1,2006,Physiology or Medicine,14608749,for their discovery of RNA interference - gene silencing by double-stranded RNA,Stanford University School of Medicine,"Stanford, CA",USA,North America,1
926,deaton,male,Angus Deaton,Angus Deaton,1945-10-19,1945.0,Scotland,Scotland,Europe,"Edinburgh, Scotland",,1,2015,Economic Sciences,10602571,"for his analysis of consumption, poverty, and welfare",Princeton University,"Princeton, NJ",USA,North America,1
1028,lhuillier,female,Anne L’Huillier,Anne L’Huillier,1958-08-16,1958.0,France,France,Europe,"Paris, France",,1,2023,Physics,11314967,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,Lund University,Lund,Sweden,Europe,1
1017,ernaux,female,Annie Ernaux,Annie Ernaux,1940-09-01,1940.0,France,France,Europe,"Lillebonne, France",,1,2022,Literature,11162900,"for the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory",,,France,Europe,0
768,leggett,male,Anthony J. Leggett,Anthony J. Leggett,1938-03-26,1938.0,United Kingdom,United Kingdom,Europe,"London, United Kingdom",2026.0,1,2003,Physics,14930730,for pioneering contributions to the theory of superconductors and superfluids,University of Illinois,"Urbana, IL",USA,North America,1
1014,zeilinger,male,Anton Zeilinger,Anton Zeilinger,1945-05-20,1945.0,Austria,Austria,Europe,"Ried im Innkreis, Austria",,1,2022,Physics,11162900,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",University of Vienna,Vienna,Austria,Europe,1
101,hewish,male,Antony Hewish,Antony Hewish,1924-05-11,1924.0,United Kingdom,United Kingdom,Europe,"Fowey, United Kingdom",2021.0,1,1974,Physics,4126741,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",University of Cambridge,Cambridge,United Kingdom,Europe,1
538,al-sadat,male,Anwar al-Sadat,Mohamed Anwar al-Sadat,1918-12-25,1918.0,Egypt,Egypt,Africa,"Mit Abu al-Kawm, Egypt",1981.0,1,1978,Peace,3665192,for jointly having negotiated peace between Egypt and Israel in 1978,,,Egypt,Africa,0
214,martin,male,Archer J.P. Martin,Archer John Porter Martin,1910-03-01,1910.0,United Kingdom,United Kingdom,Europe,"London, United Kingdom",2002.0,1,1952,Chemistry,3220326,for their invention of partition chromatography,National Institute for Medical Research,London,United Kingdom,Europe,1
311,hill,male,Archibald V. Hill,Archibald Vivian Hill,1886-09-26,1886.0,United Kingdom,United Kingdom,Europe,"Bristol, United Kingdom",1977.0,1,1922,Physiology or Medicine,3978181,for his discovery relating to the production of heat in the muscle,London University,London,United Kingdom,Europe,1
998,patapoutian,male,Ardem Patapoutian,Ardem Patapoutian,1967-00-00,1967.0,Lebanon,Lebanon,Asia,"Beirut, Lebanon",,1,2021,Physiology or Medicine,12096939,for their discoveries of receptors for temperature and touch,Scripps Research,"La Jolla, CA",USA,North America,1
891,warshel,male,Arieh Warshel,Arieh Warshel,1940-11-20,1940.0,British Mandate of Palestine,Israel,Asia,"Kibbutz Sde-Nahum, British Mandate of Palestine (now Israel)",,1,2013,Chemistry,10578918,for the development of multiscale models for complex chemical systems,University of Southern California,"Los Angeles, CA",USA,North America,1
490,briand,male,Aristide Briand,Aristide Briand,1862-03-28,1862.0,France,France,Europe,"Nantes, France",1932.0,1,1926,Peace,4138987,for their crucial role in bringing about the Locarno Treaty,,,France,Europe,0
208,tiselius,male,Arne Tiselius,Arne Wilhelm Kaurin Tiselius,1902-08-10,1902.0,Sweden,Sweden,Europe,"Stockholm, Sweden",1971.0,1,1948,Chemistry,3865528,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins",Uppsala University,Uppsala,Sweden,Europe,1
111,penzias,male,Arno Penzias,Arno Allan Penzias,1933-04-26,1933.0,Germany,Germany,Europe,"Munich, Germany",2024.0,1,1978,Physics,3665192,for their discovery of cosmic microwave background radiation,Bell Laboratories,"Holmdel, NJ",USA,North America,1
960,ashkin,male,Arthur Ashkin,Arthur Ashkin,1922-09-02,1922.0,USA,USA,North America,"New York, NY, USA",2020.0,1,2018,Physics,11380800,for the optical tweezers and their application to biological systems,Bell Laboratories,"Holmdel, NJ",USA,North America,1
920,mcdonald,male,Arthur B. McDonald,Arthur B. McDonald,1943-08-29,1943.0,Canada,Canada,North America,"Sydney, Nova Scotia, Canada",,1,2015,Physics,10602571,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",Queen's University,Kingston,Canada,North America,1
33,compton,male,Arthur H. Compton,Arthur Holly Compton,1892-09-10,1892.0,USA,USA,North America,"Wooster, OH, USA",1962.0,1,1927,Physics,4544453,for his discovery of the effect named after him,University of Chicago,"Chicago, IL",USA,North America,1
186,harden,male,Arthur Harden,Arthur Harden,1865-10-12,1865.0,United Kingdom,United Kingdom,Europe,"Manchester, United Kingdom",1940.0,1,1929,Chemistry,6206272,for their investigations on the fermentation of sugar and fermentative enzymes,London University,London,United Kingdom,Europe,1
499,henderson,male,Arthur Henderson,Arthur Henderson,1863-09-13,1863.0,Scotland,Scotland,Europe,"Glasgow, Scotland",1935.0,1,1934,Peace,6534637,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34,,,United Kingdom,Europe,0
368,kornberg,male,Arthur Kornberg,Arthur Kornberg,1918-03-03,1918.0,USA,USA,North America,"Brooklyn, NY, USA",2007.0,1,1959,Physiology or Medicine,3419788,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,Stanford University,"Stanford, CA",USA,North America,1
119,schawlow,male,Arthur L. Schawlow,Arthur Leonard Schawlow,1921-05-05,1921.0,USA,USA,North America,"Mount Vernon, NY, USA",1999.0,1,1981,Physics,3704688,for their contribution to the development of laser spectroscopy,Stanford University,"Stanford, CA",USA,North America,1
203,virtanen,male,Artturi Virtanen,Artturi Ilmari Virtanen,1895-01-15,1895.0,Russian Empire,Finland,Europe,"Helsinki, Russian Empire (now Finland)",1973.0,1,1945,Chemistry,3161325,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method",University of Helsinki,Helsinki,Finland,Europe,1
722,carlsson,male,Arvid Carlsson,Arvid Carlsson,1923-01-25,1923.0,Sweden,Sweden,Europe,"Uppsala, Sweden",2018.0,1,2000,Physiology or Medicine,14331095,for their discoveries concerning signal transduction in the nervous system,Göteborg University,Gothenburg,Sweden,Europe,1
310,krogh,male,August Krogh,Schack August Steenberg Krogh,1874-11-15,1874.0,Denmark,Denmark,Europe,"Grenå, Denmark",1949.0,1,1920,Physiology or Medicine,3028106,for his discovery of the capillary motor regulating mechanism,Copenhagen University,Copenhagen,Denmark,Europe,1
475,beernaert,male,Auguste Beernaert,Auguste Marie François Beernaert,1829-07-26,1829.0,Belgium,Belgium,Europe,"Ostend, Belgium",1912.0,1,1909,Peace,8958535,for their prominent position in the international movement for peace and arbitration,,,Belgium,Europe,0
553,kyi,female,Aung San Suu Kyi,Aung San Suu Kyi,1945-06-19,1945.0,Burma,Myanmar,Asia,"Rangoon, Burma (now Yangon, Myanmar)",,1,1991,Peace,10968389,for her non-violent struggle for democracy and human rights,,,Myanmar,Asia,0
780,hershko,male,Avram Hershko,Avram Hershko,1937-12-31,1937.0,Hungary,Hungary,Europe,"Karcag, Hungary",,1,2004,Chemistry,14874529,for the discovery of ubiquitin-mediated protein degradation,Technion - Israel Institute of Technology,Haifa,Israel,Asia,1
923,sancar,male,Aziz Sancar,Aziz Sancar,1946-09-08,1946.0,Turkey,Turkey,Asia,"Savur, Turkey",,1,2015,Chemistry,10602571,for mechanistic studies of DNA repair,University of North Carolina,"Chapel Hill, NC",USA,North America,1
845,obama,male,Barack H. Obama,Barack Hussein Obama,1961-08-04,1961.0,USA,USA,North America,"Honolulu, HI, USA",,1,2009,Peace,13857393,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples,,,USA,North America,0
428,mcclintock,female,Barbara McClintock,Barbara McClintock,1902-06-16,1902.0,USA,USA,North America,"Hartford, CT, USA",1992.0,1,1983,Physiology or Medicine,4698151,for her discovery of mobile genetic elements,Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY",USA,North America,1
942,barish,male,Barry C. Barish,Barry C. Barish,1936-01-27,1936.0,USA,USA,North America,"Omaha, NE, USA",,1,2017,Physics,11603589,for decisive contributions to the LIGO detector and the observation of gravitational waves,LIGO/VIRGO Collaboration,,,,1
789,marshall,male,Barry J. Marshall,Barry J. Marshall,1951-09-30,1951.0,Australia,Australia,Oceania,"Kalgoorlie, Australia",,1,2005,Physiology or Medicine,14809494,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,"NHMRC Helicobacter pylori Research Laboratory, QEII Medical Centre",Nedlands,Australia,Oceania,1
409,blumberg,male,Baruch S. Blumberg,Baruch S. Blumberg,1925-07-28,1925.0,USA,USA,North America,"New York, NY, USA",2011.0,1,1976,Physiology or Medicine,4226835,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,The Institute for Cancer Research,"Philadelphia, PA",USA,North America,1
419,benacerraf,male,Baruj Benacerraf,Baruj Benacerraf,1920-10-29,1920.0,Venezuela,Venezuela,South America,"Caracas, Venezuela",2011.0,1,1980,Physiology or Medicine,3654081,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,Harvard Medical School,"Boston, MA",USA,North America,1
1021,bernanke,male,Ben Bernanke,Ben S. Bernanke,1953-12-13,1953.0,USA,USA,North America,"Augusta, GA, USA",,1,2022,Economic Sciences,11162900,for research on banks and financial crises,The Brookings Institution,"Washington, D.C.",USA,North America,1
103,mottelson,male,Ben R. Mottelson,Ben Roy Mottelson,1926-07-09,1926.0,USA,USA,North America,"Chicago, IL, USA",2022.0,1,1975,Physics,4304697,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nordita,Copenhagen,Denmark,Europe,1
